tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
481,12/1/19 10:39 AM,12/1/19 10:47 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3270,Jersey & 6th St,40.72528911,-74.04557168,29275,Subscriber,1977,2
193,12/1/19 10:44 AM,12/1/19 10:47 AM,3186,Grove St PATH,40.71958612,-74.04311746,3279,Dixon Mills,40.72163014,-74.04996783,29447,Subscriber,1981,1
199,12/1/19 10:45 AM,12/1/19 10:49 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,29206,Subscriber,1992,1
389,12/1/19 10:47 AM,12/1/19 10:53 AM,3481,York St,40.71649,-74.04105,3203,Hamilton Park,40.72759597,-74.04424731,29616,Subscriber,1979,1
329,12/1/19 10:47 AM,12/1/19 10:52 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3275,Columbus Drive,40.7183552,-74.03891444,26219,Subscriber,1989,2
395,12/1/19 10:47 AM,12/1/19 10:53 AM,3186,Grove St PATH,40.71958612,-74.04311746,3202,Newport PATH,40.7272235,-74.0337589,26296,Subscriber,1983,1
220,12/1/19 10:47 AM,12/1/19 10:51 AM,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,29505,Subscriber,1990,2
214,12/1/19 10:49 AM,12/1/19 10:53 AM,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,29258,Subscriber,1984,1
372,12/1/19 10:50 AM,12/1/19 10:56 AM,3483,Montgomery St,40.71942,-74.05099,3211,Newark Ave,40.72152515,-74.04630454,29583,Subscriber,1979,1
397,12/1/19 10:50 AM,12/1/19 10:57 AM,3679,Bergen Ave,40.72210379,-74.071455,3195,Sip Ave,40.7308971,-74.06391263,29123,Subscriber,1983,2
319,12/1/19 10:50 AM,12/1/19 10:56 AM,3483,Montgomery St,40.71942,-74.05099,3211,Newark Ave,40.72152515,-74.04630454,26198,Subscriber,1979,2
212,12/1/19 10:59 AM,12/1/19 11:03 AM,3206,Hilltop,40.7311689,-74.0575736,3640,Journal Square,40.73367,-74.0625,29642,Subscriber,1970,1
224,12/1/19 11:01 AM,12/1/19 11:04 AM,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,29258,Subscriber,1979,1
231,12/1/19 11:01 AM,12/1/19 11:05 AM,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,29126,Subscriber,1979,2
332,12/1/19 11:02 AM,12/1/19 11:08 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3273,Manila & 1st,40.72165072,-74.04288411,26271,Subscriber,1988,1
383,12/1/19 11:02 AM,12/1/19 11:09 AM,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,29295,Subscriber,1988,1
857,12/1/19 11:05 AM,12/1/19 11:19 AM,3214,Essex Light Rail,40.7127742,-74.0364857,3192,Liberty Light Rail,40.7112423,-74.0557013,29308,Subscriber,1986,1
455,12/1/19 11:05 AM,12/1/19 11:12 AM,3203,Hamilton Park,40.72759597,-74.04424731,3187,Warren St,40.7211236,-74.03805095,26295,Subscriber,1984,2
167,12/1/19 11:06 AM,12/1/19 11:08 AM,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,26296,Subscriber,1992,2
175,12/1/19 11:08 AM,12/1/19 11:11 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,26238,Subscriber,1979,1
695,12/1/19 11:10 AM,12/1/19 11:22 AM,3277,Communipaw & Berry Lane,40.71435837,-74.06661093,3278,Monmouth and 6th,40.72568548,-74.04879034,29492,Subscriber,1985,1
128,12/1/19 11:14 AM,12/1/19 11:16 AM,3275,Columbus Drive,40.7183552,-74.03891444,3681,Grand St,40.71517768,-74.03768331,26185,Subscriber,1985,1
303,12/1/19 11:17 AM,12/1/19 11:22 AM,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,26268,Customer,1969,0
411,12/1/19 11:20 AM,12/1/19 11:27 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3275,Columbus Drive,40.7183552,-74.03891444,29547,Subscriber,1988,2
616,12/1/19 11:20 AM,12/1/19 11:31 AM,3210,Pershing Field,40.74267714,-74.05178863,3211,Newark Ave,40.72152515,-74.04630454,29455,Subscriber,1979,2
703,12/1/19 11:22 AM,12/1/19 11:33 AM,3220,5 Corners Library,40.73496102,-74.05950308,3192,Liberty Light Rail,40.7112423,-74.0557013,26200,Subscriber,1974,1
256,12/1/19 11:23 AM,12/1/19 11:27 AM,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.7192517,-74.034234,26238,Subscriber,1988,1
218,12/1/19 11:25 AM,12/1/19 11:29 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29612,Subscriber,1994,1
165,12/1/19 11:26 AM,12/1/19 11:28 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,26156,Customer,1969,0
452,12/1/19 11:28 AM,12/1/19 11:36 AM,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,29298,Subscriber,1996,1
